id,fullName,shortName,nationality,dateOfBirth,bowlingStyle,batter_hand,bowler_hand
184,Darren Bravo,DM Bravo,West Indian,2/6/89,MEDIUM_SEAM,L,R
4320,Ankit Soni,A Soni,Indian,,LEG_SPIN,R,R
1116,Sheldon Jackson,S Jackson,Indian,9/27/86,,R,L
3823,Ankit Bawne,A Bawne,Indian,12/17/92,OFF_SPIN,R,R
1505,Matt Henry,M Henry,New Zealander,12/14/91,FAST_SEAM,R,R
1561,Avesh Khan,A Khan,Indian,12/13/96,FAST_SEAM,R,R
872,Evin Lewis,E Lewis,West Indian,12/27/91,,L,L
4951,Mayank Markande,M Markande,Indian,11/11/97,LEG_SPIN,R,R
2749,Mark Wood,M Wood,English,1/11/90,FAST_SEAM,R,R
4572,Mujeeb Ur Rahman,M Ur Rahman,Afghan,3/28/01,OFF_SPIN,R,R
3830,Rinku Singh,R Singh,Indian,10/12/97,LEG_SPIN,R,R
3835,Kulwant Khejroliya,K Khejroliya,Indian,3/2/95,FAST_SEAM,L,L
3887,D'Arcy Short,D Short,Australian,8/9/90,UNORTHODOX,L,L
3834,Krishnappa Gowtham,K Gowtham,Indian,10/20/88,OFF_SPIN,R,R
3646,Tom Curran,T Curran,English,3/12/95,FAST_SEAM,R,R
588,Akila Dananjaya,A Dananjaya,Sri Lankan,10/4/93,OFF_SPIN,L,R
3761,Shubman Gill,S Gill,Indian,9/8/99,OFF_SPIN,R,R
3779,Shivam Mavi,S Mavi,Indian,11/26/98,FAST_SEAM,R,R
3869,Heinrich Klaasen,H Klaasen,South African,7/30/91,,R,R
1555,Ricky Bhui,R Bhui,Indian,9/29/96,,R,L
3502,Jofra Archer,J Archer,English,4/1/95,FAST_SEAM,R,R
3764,Prithvi Shaw,P Shaw,Indian,11/9/99,OFF_SPIN,R,R
1842,Liam Plunkett,L Plunkett,English,4/6/85,FAST_SEAM,R,R
2970,Mahipal Lomror,M Lomror,Indian,11/16/99,ORTHODOX,L,L
1304,Ish Sodhi,I Sodhi,New Zealander,10/31/92,LEG_SPIN,R,R
511,Alex Hales,A Hales,English,1/3/89,MEDIUM_SEAM,R,R
4944,KM Asif,KM Asif,Indian,7/24/93,MEDIUM_SEAM,R,R
3746,Lungi Ngidi,L Ngidi,South African,3/29/96,FAST_SEAM,R,R
4946,Dhruv Shorey,D Shorey,Indian,6/5/92,OFF_SPIN,R,R
2758,David Willey,D Willey,English,2/28/90,FAST_SEAM,L,L
5105,Prasidh Krishna,P Krishna,Indian,2/19/96,MEDIUM_SEAM,R,R
1735,Moeen Ali,M Ali,English,6/18/87,OFF_SPIN,L,R
3226,Prashant Chopra,P Chopra,Indian,10/7/92,,R,L
4960,Javon Searles,J Searles,West Indian,12/21/86,FAST_SEAM,R,R
3760,Abhishek Sharma,A Sharma,Indian,9/4/00,ORTHODOX,L,L
3013,Sandeep Lamichhane,S Lamichhane,Nepalese,8/14/00,LEG_SPIN,R,R
4277,Junior Dala,J Dala,South African,12/29/89,MEDIUM_SEAM,R,R
2964,Khaleel Ahmed,K Ahmed,Indian,12/5/97,MEDIUM_SEAM,R,L
1705,Shimron Hetmyer,S Hetmyer,West Indian,12/26/96,,L,L
5431,Shivam Dube,S Dube,Indian,6/26/93,MEDIUM_SEAM,L,R
3824,Navdeep Saini,N Saini,Indian,11/23/92,FAST_SEAM,R,R
506,Jonny Bairstow,J Bairstow,English,9/26/89,MEDIUM_SEAM,R,R
5437,Rasikh Salam,R Salam,Indian,4/5/01,MEDIUM_SEAM,R,R
168,Colin Ingram,C Ingram,South African,7/3/85,,R,L
3101,Keemo Paul,K Paul,West Indian,2/21/98,FAST_SEAM,R,R
1703,Nicholas Pooran,N Pooran,West Indian,10/2/95,,L,L
2939,Sam Curran,S Curran,English,6/3/98,MEDIUM_SEAM,L,L
1276,Hardus Viljoen,H Viljoen,South African,3/6/89,MEDIUM_SEAM,R,R
5432,Varun Chakaravarthy,V Chakaravarthy,Indian,8/29/91,LEG_SPIN,R,R
5439,Prayas Ray Barman,P R Barman,Indian,10/25/02,LEG_SPIN,R,R
1903,Mitchell Santner,M Santner,New Zealander,2/5/92,ORTHODOX,L,L
937,Jason Behrendorff,J Behrendorff,Australian,4/20/90,FAST_SEAM,R,L
1859,Scott Kuggeleijn,S Kuggeleijn,New Zealander,1/3/92,FAST_SEAM,R,R
3098,Alzarri Joseph,A Joseph,West Indian,11/20/96,FAST_SEAM,R,R
4950,Sudhesan Midhun,S Midhun,Indian,10/7/94,LEG_SPIN,R,R
1737,Harry Gurney,H Gurney,English,10/25/86,MEDIUM_SEAM,R,L
2739,Siddhesh Lad,SD Lad,Indian,5/23/92,OFF_SPIN,R,R
4445,Riyan Parag,R Parag,Indian,11/10/01,LEG_SPIN,R,R
3611,Joe Denly,J Denly,English,3/16/86,LEG_SPIN,R,R
3644,Liam Livingstone,L Livingstone,English,8/4/93,LEG_SPIN,R,R
4698,Arshdeep Singh,A Singh,Indian,2/5/99,MEDIUM_SEAM,L,L
1285,Ashton Turner,A Turner,Australian,1/25/93,OFF_SPIN,R,R
5396,Sherfane Rutherford,S Rutherford,West Indian,8/15/98,MEDIUM_SEAM,L,R
5441,Harpreet Brar,H Brar,Indian,9/16/95,ORTHODOX,L,L
5438,Prithvi Raj Yarra,PR Yarra,Indian,2/20/98,MEDIUM_SEAM,L,L
5146,Oshane Thomas,O Thomas,West Indian,2/18/97,FAST_SEAM,L,R
3774,Anukul Roy,A Roy,Indian,11/30/98,ORTHODOX,L,L
1092,Sandeep Warrier,S Warrier,Indian,4/4/91,MEDIUM_SEAM,R,R
5436,Prabhsimran Singh,P Singh,Indian,8/10/00,,R,R
199,James Pattinson,J Pattinson,Australian,5/3/90,FAST_SEAM,L,R
5433,Anrich Nortje,A Nortje,South African,11/16/93,FAST_SEAM,R,R
1309,Sheldon Cottrell,S Cottrell,West Indian,8/19/89,FAST_SEAM,R,L
19351,Ravi Bishnoi,R Bishnoi,Indian,9/5/00,LEG_SPIN,R,R
3775,Priyam Garg,P Garg,Indian,11/30/00,MEDIUM_SEAM,R,R
5430,Devdutt Padikkal,D Padikkal,Indian,7/7/00,OFF_SPIN,L,R
4518,Josh Philippe,J Philippe,Australian,6/1/97,,R,R
13538,Yashasvi Jaiswal,Y Jaiswal,Indian,12/28/01,MEDIUM_SEAM,L,L
5443,Ruturaj Gaikwad,R Gaikwad,Indian,1/31/97,OFF_SPIN,R,R
857,Josh Hazlewood,J Hazlewood,Australian,1/8/91,FAST_SEAM,L,R
3766,Kamlesh Nagarkoti,K Nagarkoti,Indian,12/28/99,MEDIUM_SEAM,R,R
690,Isuru Udana,I Udana,Sri Lankan,2/17/88,MEDIUM_SEAM,R,L
19352,Abdul Samad,A Samad,Indian,10/28/01,LEG_SPIN,R,R
10059,Kartik Tyagi,K Tyagi,Indian,11/8/00,FAST_SEAM,R,R
4942,Narayan Jagadeesan,N Jagadeesan,Indian,12/24/95,,R,R
3882,Alex Carey,A Carey,Australian,8/27/91,,L,L
3770,Tom Banton,T Banton,English,11/11/98,,R,R
3257,Tushar Deshpande,T Deshpande,Indian,5/15/95,MEDIUM_SEAM,R,R
3803,Chris Green,C Green,South African,10/1/93,OFF_SPIN,R,R
13803,Shahbaz Ahmed,S Ahmed,Indian,12/11/94,ORTHODOX,L,L
4649,Daniel Sams,D Sams,Australian,10/27/92,FAST_SEAM,R,L
1560,Monu Kumar,M Kumar,Indian,11/5/94,MEDIUM_SEAM,R,R
3188,Pravin Dubey,P Dubey,Indian,7/1/93,LEG_SPIN,R,R
17068,Marco Jansen,M Jansen,South African,5/1/00,FAST_SEAM,R,L
5471,Rajat Patidar,R Patidar,Indian,6/1/93,OFF_SPIN,R,R
1616,Kyle Jamieson,K Jamieson,New Zealander,12/30/94,MEDIUM_SEAM,R,R
11062,Chetan Sakariya,C Sakariya,Indian,2/28/98,FAST_SEAM,L,L
7779,Shahrukh Khan,S Khan,Indian,5/27/95,MEDIUM_SEAM,R,R
3781,Jhye Richardson,J Richardson,Australian,9/20/96,FAST_SEAM,R,R
4055,Riley Meredith,R Meredith,Australian,6/21/96,FAST_SEAM,R,R
6870,Lalit Yadav,L Yadav,Indian,1/3/97,OFF_SPIN,R,R
6966,Virat Singh,V Singh,Indian,12/8/97,OFF_SPIN,L,R
7803,Lukman Meriwala,L Meriwala,Indian,12/11/91,FAST_SEAM,L,L
1087,Jalaj Saxena,J Saxena,Indian,12/15/86,OFF_SPIN,R,R
1707,Fabian Allen,F Allen,West Indian,5/7/95,ORTHODOX,R,L
10788,Anuj Rawat,A Rawat,Indian,10/17/99,FAST_SEAM,L,R
3318,Dawid Malan,D Malan,English,9/3/87,LEG_SPIN,L,R
2965,Anmolpreet Singh,A Singh,Indian,3/28/98,,R,R
8540,Venkatesh Iyer,V Iyer,Indian,12/25/94,MEDIUM_SEAM,L,R
2734,K.S Bharat,KS Bharat,Indian,10/3/93,,R,L
3082,Wanindu Hasaranga,W Hasaranga,Sri Lankan,7/29/97,LEG_SPIN,R,R
1667,Aiden Markram,A Markram,South African,10/4/94,OFF_SPIN,R,R
3777,Ishan Porel,I Porel,Indian,9/5/98,MEDIUM_SEAM,R,R
796,Adil Rashid,A Rashid,English,2/17/88,LEG_SPIN,R,R
4524,Tim David,T David,Singaporean,3/16/96,OFF_SPIN,R,R
17118,Nathan Ellis,N Ellis,Australian,9/22/94,FAST_SEAM,R,R
2942,George Garton,G Garton,English,4/15/97,FAST_SEAM,L,L
1619,Tim Seifert,T Seifert,New Zealander,12/14/94,,R,L
3027,Glenn Phillips,G Phillips,New Zealander,12/6/96,OFF_SPIN,R,R
12585,Akash Singh,A Singh,Indian,4/26/02,FAST_SEAM,R,L
15154,Umran Malik,U Malik,Indian,11/22/99,FAST_SEAM,R,R
17191,Ripal Patel,R Patel,Indian,9/28/95,FAST_SEAM,R,R
12480,Kuldip Yadav,K Yadav,Indian,10/15/96,FAST_SEAM,R,L
